OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),ComplianceStatus,Outlier,usage_type
16,2016,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,Seattle,WA,98101.0,0942000165,7,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,,,,,,26941110.0,Compliant,,Mono-usage
17,2016,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,Seattle,WA,98104.0,0942000210,7,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,,,,,,6596057.5,Compliant,,Mono-usage
18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,Seattle,WA,98101.0,0942000235,7,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,22325364.0,Compliant,,Multi-usages
19,2016,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,Seattle,WA,98101.0,0942000265,7,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,,10750010.0,Compliant,,Multi-usages
21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,Seattle,WA,98154.0,0942000275,7,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,18588860.0,Compliant,,Multi-usages
22,2016,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,Seattle,WA,98104.0,0942000350,7,DOWNTOWN,47.60546,-122.33279,1930,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,9956396.0,Compliant,,Multi-usages
23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,Seattle,WA,98104.0,0942000430,7,DOWNTOWN,47.60681,-122.33078,1983,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,,33556756.0,Compliant,,Multi-usages
24,2016,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,Seattle,WA,98104.0,0942000510,7,DOWNTOWN,47.60515,-122.33159,1907,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,7606084.5,Compliant,,Multi-usages
25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,Seattle,WA,98104.0,0942000610,7,DOWNTOWN,47.60376,-122.33194,1916,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,,,,,,10154608.0,Compliant,,Mono-usage
26,2016,NonResidential,Other,King County Courthouse,516 3RD AVE,Seattle,WA,98104.0,0942000860,7,DOWNTOWN,47.60265,-122.33051,1916,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,,,,,,44984468.0,Compliant,,Mono-usage
27,2016,NonResidential,Other,King County Correctional Facility,500 5TH AVE,Seattle,WA,98104.0,0942001010,3,DOWNTOWN,47.60378,-122.32842,1985,1.0,19,385274,0,385274,Other,Other,385274.0,,,,,,47859812.0,Compliant,,Mono-usage
29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,Seattle,WA,98105.0,1142000755,4,NORTHEAST,47.65959,-122.31755,2001,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,,3663534.5,Compliant,,Multi-usages
30,2016,NonResidential,University,Main Campus Center,1000 Lenora St.,Seattle,WA,98121.0,0660001420,7,DOWNTOWN,47.61816,-122.33629,1928,1.0,7,126593,0,126593,College/University,College/University,125000.0,,,,,,11343686.0,Compliant,,Mono-usage
31,2016,NonResidential,Other,Seattle Honda,1015 & 1017 Olive Way,Seattle,WA,98101.0,0660001725,7,DOWNTOWN,47.615,-122.33081,1930,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,,,,,1310236.625,Compliant,,Mono-usage
32,2016,NonResidential,Hotel,Homewood Suites,1011 Pike ST,Seattle,WA,98101.0,0660001832,7,EAST,47.61301,-122.32929,1991,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,Parking,42000.0,Retail Store,4500.0,,5328051.5,Compliant,,Multi-usages
33,2016,NonResidential,Hotel,Marriott Springhill Suites (33),1800 Yale Ave,Seattle,WA,98101.0,0660002680,7,DOWNTOWN,47.61784,-122.32966,2001,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,,,,,,11061916.0,Compliant,,Mono-usage
35,2016,NonResidential,Hotel,Hotel Five,2200 5th ave,Seattle,WA,98121.0,0697000170,7,DOWNTOWN,47.61558,-122.34186,1978,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,,,,,,4456714.5,Compliant,,Mono-usage
